Tiempo,Flujo
2454953.9917381094,401161.9
2454953.992419231,401319.3
2454953.993100453,401381.7
2454953.993781575,401336.6
2454953.994462697,401366.66
2454953.995143919,401232.06
2454953.9958250406,401123.72
2454953.9965060623,401262.2
2454953.997187184,401429.97
2454953.997868406,401260.5
2454953.998549528,401433.94
2454953.9992306503,401260.7
2454953.9999118717,401305.56
2454954.000592994,401417.28
2454954.001274116,401409.6
2454954.0019552372,401328.38
2454954.0026363595,401301.62
2454954.0033174814,401217.1
2454954.0039987033,401413.06
2454954.004679825,401350.88
2454954.005360947,401400.75
2454954.006042069,401383.72
2454954.006723291,401305.6
2454954.0074043125,401270.94
2454954.0080854343,401241.22
2454954.0087666563,401519.25
2454954.009447778,401395.38
2454954.0101289,401268.66
2454954.010810122,401264.53
2454954.0114912437,401185.44
2454954.0121723656,401336.4
2454954.0128534874,401373.5
2454954.013534609,401284.47
2454954.014215731,401241.12
2454954.0148968534,401532.1
2454954.015578075,401282.38
2454954.016259197,401400.84
2454954.0169404186,401358.78
2454954.017621541,401296.8
2454954.0183025626,401344.94
2454954.0189836845,401308.62
2454954.0196649064,401329.6
2454954.0203460283,401325.4
2454954.02102725,401322.5
2454954.021708372,401379.6
2454954.022389494,401429.7
2454954.023070716,401322.62
2454954.0237517375,401390.6
2454954.0244328594,401254.4
2454954.0251140813,401222.62
2454954.025795203,401418.1
2454954.026476325,401301.3
2454954.027157547,401435.25
2454954.027838669,401322.47
2454954.0285197906,401430.22
2454954.0292010126,401424.06
2454954.0298820348,401581.9
2454954.0305631566,401457.4
2454954.0312443785,401487.5
2454954.0319255004,401182.3
2454954.032606622,401220.47
2454954.033287744,401298.62
2454954.033968966,401282.22
2454954.034650088,401425.44
2454954.0353311095,401260.12
2454954.0360123315,401245.5
2454954.0366934533,401286.38
2454954.037374575,401458.8
2454954.038055797,401221.28
2454954.038736919,401337.56
2454954.039418041,401546.66
2454954.0400992627,401306.5
2454954.0407802844,401420.16
2454954.0414614063,401322.6
2454954.0421425286,401383.16
2454954.04282375,401223.22
2454954.0435048724,401281.12
2454954.044186094,401361.56
2454954.044867216,401386.97
2454954.045548338,401370.2
2454954.0462293597,401341.5
2454954.0469105816,401429.25
2454954.0475917035,401251.28
2454954.0482729254,401400.94
2454954.0489540473,401420.12
2454954.049635169,401389.0
2454954.050316391,401323.72
2454954.050997513,401349.47
2454954.0516785346,401288.88
2454954.0523596564,401320.56
2454954.0530408784,401338.56
2454954.053722,401404.44
2454954.054403222,401269.4
2454954.055084344,401456.06
2454954.055765466,401422.8
2454954.056446688,401320.03
2454954.0571277095,401508.72
2454954.0578088313,401335.78
2454954.0584900533,401346.28
2454954.059171175,401243.97
2454954.0598522974,401393.94
2454954.0605334193,401553.8
2454954.0612146407,401295.12
2454954.061895763,401364.7
2454954.0625767848,401363.72
2454954.0632580067,401368.03
2454954.0639391285,401312.16
2454954.0646202504,401431.5
2454954.0653014723,401424.3
2454954.065982594,401455.62
2454954.066663716,401166.3
2454954.067344838,401231.0
2454954.0680259597,401332.78
2454954.0687070815,401324.03
2454954.0693882033,401289.62
2454954.0700694253,401287.16
2454954.070750547,401316.03
2454954.071431669,401289.8
2454954.072112891,401478.34
2454954.0727940127,401222.44
2454954.073475035,401278.22
2454954.0741562564,401310.28
2454954.074837378,401444.88
2454954.0755185005,401315.22
2454954.076199722,401358.94
2454954.0768808443,401342.84
2454954.077561966,401343.6
2454954.078243188,401345.22
2454954.07892421,401422.72
2454954.0796053316,401455.94
2454954.0802865536,401300.0
2454954.0809676754,401254.75
2454954.0816487973,401437.9
2454954.082330019,401389.8
2454954.083011141,401263.5
2454954.083692363,401420.6
2454954.0843733847,401330.38
2454954.0850545065,401348.4
2454954.0857356284,401557.38
2454954.0864168503,401390.03
2454954.087097972,401402.44
2454954.087779094,401371.7
2454954.088460316,401407.34
2454954.089141438,401442.9
2454954.0898224595,401381.25
2454954.0905036815,401412.66
2454954.0911848033,401466.97
2454954.0918659256,401390.1
2454954.092547147,401424.7
2454954.0932282694,401339.5
2454954.093909391,401410.03
2454954.094590513,401309.34
2454954.095271635,401329.7
2454954.0959527567,401280.5
2454954.0966338785,401339.06
2454954.0973151005,401265.8
2454954.0979962223,401305.38
2454954.098677344,401488.38
2454954.099358566,401428.1
2454954.100039688,401339.56
2454954.10072081,401459.25
2454954.1014019316,401342.8
2454954.1020830534,401288.7
2454954.1027641753,401355.0
2454954.103445297,401376.1
2454954.104126519,401411.03
2454954.104807641,401292.28
2454954.105488863,401409.53
2454954.1061699847,401313.6
2454954.106851007,401265.25
2454954.1075321287,401206.1
2454954.10821335,401300.8
2454954.1088944725,401245.56
2454954.109575694,401382.5
2454954.1102568163,401450.47
2454954.110937938,401339.5
2454954.11161916,401446.0
2454954.1123001818,401340.38
2454954.1129813036,401322.56
2454954.1136625255,401194.0
2454954.1143436474,401518.53
2454954.115024769,401226.88
2454954.115705991,401204.94
2454954.116387113,401212.78
2454954.117068235,401333.44
2454954.1177493567,401474.66
2454954.1184304785,401477.9
2454954.1191116003,401293.5
2454954.1197928223,401573.22
2454954.120473944,401272.8
2454954.121155066,401466.72
2454954.121836288,401497.88
2454954.1225174097,401448.3
2454954.1231984315,401544.5
2454954.1238795538,401414.03
2454954.1245607752,401545.62
2454954.1252418975,401261.38
2454954.1259230194,401547.75
2454954.126604241,401284.7
2454954.1272853627,401244.2
2454954.127966485,401332.88
2454954.128647607,401233.97
2454954.1293287287,401328.44
2454954.1300098505,401287.62
2454954.1306909723,401359.75
2454954.1313721943,401369.25
2454954.132053316,401352.5
2454954.132734538,401386.1
2454954.13341566,401114.66
2454954.1340966816,401140.84
2454954.1347778034,401439.84
2454954.1354590254,401364.0
2454954.136140147,401237.78
2454954.136821269,401471.94
2454954.137502491,401422.0
2454954.138183613,401334.44
2454954.138864835,401267.5
2454954.1395458565,401291.2
2454954.1402269783,401431.2
2454954.1409081,401385.8
2454954.141589322,401285.2
2454954.142270444,401423.5
2454954.142951666,401512.12
2454954.1436327877,401318.53
2454954.1443139096,401291.03
2454954.1449949318,401246.88
2454954.1456761532,401330.7
2454954.1463572755,401534.72
2454954.147038497,401529.88
2454954.1477196193,401246.62
2454954.148400741,401098.47
2454954.149081963,401565.72
2454954.149763085,401396.56
2454954.1504441067,401526.7
2454954.1511252285,401573.34
2454954.1518064504,401230.0
2454954.1524875723,401416.12
2454954.153168694,401196.38
2454954.153849916,401336.2
2454954.154531038,401214.94
2454954.1552121597,401362.12
2454954.1558932816,401198.75
2454954.1565744034,401297.78
2454954.1572555252,401243.44
2454954.157936647,401367.25
2454954.158617869,401231.66
2454954.159298991,401234.7
2454954.1599801127,401430.6
2454954.1606613346,401367.97
2454954.161342357,401329.97
2454954.1620234787,401441.4
2454954.1627047006,401308.22
2454954.1633858224,401361.06
2454954.1640669443,401401.66
2454954.1647481658,401374.78
2454954.1654292876,401261.8
2454954.16611041,401262.1
2454954.1667914316,401350.03
2454954.1674726536,401405.34
2454954.1681537754,401205.3
2454954.1688349973,401446.4
2454954.169516119,401444.66
2454954.170197241,401373.1
2454954.170878463,401182.38
2454954.171559585,401212.7
2454954.1722408067,401449.88
2454954.1729218285,401395.5
2454954.1736029503,401307.47
2454954.174284072,401397.4
2454954.174965294,401376.75
2454954.175646416,401318.6
2454954.176327638,401423.28
2454954.1770087597,401573.06
2454954.1776898815,401364.97
2454954.1783709032,401192.25
2454954.179052125,401419.2
2454954.179733247,401216.8
2454954.180414369,401362.4
2454954.181095591,401354.75
2454954.1817767126,401284.53
2454954.1824578345,401180.44
2454954.1831389563,401210.28
2454954.183820078,401422.6
2454954.1845012004,401298.44
2454954.185182422,401316.6
2454954.1858635442,401281.25
2454954.186544666,401271.44
2454954.187225788,401327.12
2454954.1879070094,401325.2
2454954.1885881317,401296.75
2454954.1892691534,401408.88
2454954.1899503754,401520.5
2454954.190631497,401313.2
